ID,first_name,last_name,user_name,password,email,NRIC,contact,years_of_experience,academic_1,academic_2,academic_3,academic_4,academic_5
,Joey,Blake,JoeyBlake,*JoeyBlake*321!,joey_Blake@hotmail.com,S8531276V,81963072,22,Diploma,,,,
,Keith,Nick,KeithNick,*KeithNick*321!,keith_Nick@gmail.com,S9831120E,80124556,13,Professional Certification,,,,
,Ron,Greyson,RonGreyson,*RonGreyson*321!,ron_Greyson@msn.com,S9621436F,97514395,17,Professional Certification,,,,
,Philip,Peter,PhilipPeter,*PhilipPeter*321!,philip_Peter@huawei.com,S8408442S,80786015,26,PhD,,,,
,Tommy,Glen,TommyGlen,*TommyGlen*321!,tommy_Glen@hotmail.com,S7401452G,85261234,18,Diploma,,,,
,Charlie,Hector,CharlieHector,*CharlieHector*321!,charlie_Hector@msn.com,T0000365G,90944248,12,Diploma,,,,
,Ted,Blake,TedBlake,*TedBlake*321!,ted_Blake@huawei.com,S7723191P,83348091,9,Professional Certification,,,,
,Wiley,Martin,WileyMartin,*WileyMartin*321!,wiley_Martin@huawei.com,S9702172V,93101566,12,Professional Certification,,,,
,Paul,Paul,PaulPaul,*PaulPaul*321!,paul_Paul@msn.com,S8933703O,98224547,30,Bachelor,,,,
,Dave,Julian,DaveJulian,*DaveJulian*321!,dave_Julian@msn.com,S9127399C,98608808,18,Master,,,,
,Blake,George,BlakeGeorge,*BlakeGeorge*321!,blake_George@msn.com,S9924963X,81606461,3,Diploma,,,,
,Jimmy,Sebastian,JimmySebastian,*JimmySebastian*321!,jimmy_Sebastian@alibaba.com,S8214537G,94852425,6,PhD,,,,
,Keith,Ramon,KeithRamon,*KeithRamon*321!,keith_Ramon@msn.com,S9411674V,80025903,17,Master,,,,
,Clark,Paul,ClarkPaul,*ClarkPaul*321!,clark_Paul@huawei.com,S7906589W,88240275,6,Diploma,,,,
,Terry,Charlie,TerryCharlie,*TerryCharlie*321!,terry_Charlie@alibaba.com,S8314653E,86262687,27,Bachelor,,,,
,Ivan,Ted,IvanTed,*IvanTed*321!,ivan_Ted@gmail.com,T0022474C,97123157,16,PhD,,,,
,Kingston,Miles,KingstonMiles,*KingstonMiles*321!,kingston_Miles@alibaba.com,S7001977Q,82330157,8,Master,,,,
,Troy,Sebastian,TroySebastian,*TroySebastian*321!,troy_Sebastian@alibaba.com,T0031666N,89785645,1,Bachelor,,,,
,Tommy,Sebastian,TommySebastian,*TommySebastian*321!,tommy_Sebastian@msn.com,S9233689Q,90135386,8,Master,,,,
,Johnny,Troy,JohnnyTroy,*JohnnyTroy*321!,johnny_Troy@yahoo.com,S9206150S,82413250,25,Professional Certification,,,,
,Troy,Gilbert,TroyGilbert,*TroyGilbert*321!,troy_Gilbert@gmail.com,S8331874J,96729431,26,PhD,,,,
,Jerry,Liam,JerryLiam,*JerryLiam*321!,jerry_Liam@huawei.com,S7526730P,87940364,11,Bachelor,,,,
,Nick,Claude,NickClaude,*NickClaude*321!,nick_Claude@hotmail.com,S8915852Q,87087338,4,Master,,,,
,Ricardo,Brian,RicardoBrian,*RicardoBrian*321!,ricardo_Brian@hotmail.com,S9700267C,85882130,14,PhD,,,,
,Robin,George,RobinGeorge,*RobinGeorge*321!,robin_George@huawei.com,S7906596O,81429769,10,PhD,,,,
,Liam,Greyson,LiamGreyson,*LiamGreyson*321!,liam_Greyson@msn.com,S8732613Y,99879378,8,Master,,,,
,Clark,Antonio,ClarkAntonio,*ClarkAntonio*321!,clark_Antonio@huawei.com,T0013716I,98790898,28,PhD,,,,
,Eli,Paul,EliPaul,*EliPaul*321!,eli_Paul@msn.com,S9815199T,85114816,5,PhD,,,,
,Aidan,Julian,AidanJulian,*AidanJulian*321!,aidan_Julian@hotmail.com,S7313530M,99025656,9,Professional Certification,,,,
,Joe,Ramon,JoeRamon,*JoeRamon*321!,joe_Ramon@alibaba.com,S7506898W,94707154,3,Diploma,,,,
,Joshua,Charlie,JoshuaCharlie,*JoshuaCharlie*321!,joshua_Charlie@gmail.com,S9204719J,99909041,8,Bachelor,,,,
,Conner,Luka,ConnerLuka,*ConnerLuka*321!,conner_Luka@huawei.com,S8413327X,94330299,12,Bachelor,,,,
,Antonio,Albert,AntonioAlbert,*AntonioAlbert*321!,antonio_Albert@huawei.com,S7003904M,89674012,2,Master,,,,
,Harold,Seth,HaroldSeth,*HaroldSeth*321!,harold_Seth@huawei.com,S9807025C,95208462,17,Diploma,,,,
,Jerry,Eli,JerryEli,*JerryEli*321!,jerry_Eli@msn.com,S9334031D,87190491,12,PhD,,,,
,Christopher,Paul,ChristopherPaul,*ChristopherPaul*321!,christopher_Paul@huawei.com,S8307728T,85614369,20,Master,,,,
,Harold,Philip,HaroldPhilip,*HaroldPhilip*321!,harold_Philip@huawei.com,S8621260Y,80352409,23,Professional Certification,,,,
,Marlin,Shane,MarlinShane,*MarlinShane*321!,marlin_Shane@alibaba.com,S7415258V,91459983,7,Master,,,,
,Conner,Kingston,ConnerKingston,*ConnerKingston*321!,conner_Kingston@gmail.com,S8019059I,98194509,18,Professional Certification,,,,
,Victor,Harvey,VictorHarvey,*VictorHarvey*321!,victor_Harvey@huawei.com,S8724309H,93727457,22,PhD,,,,
,Hector,Ted,HectorTed,*HectorTed*321!,hector_Ted@gmail.com,S9719939K,85193765,26,Professional Certification,,,,
,Arthur,Scott,ArthurScott,*ArthurScott*321!,arthur_Scott@gmail.com,S9519468V,92987806,22,Bachelor,,,,
,Adrian,Gilbert,AdrianGilbert,*AdrianGilbert*321!,adrian_Gilbert@gmail.com,T0003139D,86331075,26,Diploma,,,,
,Sebastian,Cedric,SebastianCedric,*SebastianCedric*321!,sebastian_Cedric@alibaba.com,S9510316K,97777160,4,Diploma,,,,
,Dan,Jaime,DanJaime,*DanJaime*321!,dan_Jaime@yahoo.com,S8123306B,85594079,15,Professional Certification,,,,
,Liam,Jaime,LiamJaime,*LiamJaime*321!,liam_Jaime@msn.com,S7731323U,86325894,12,PhD,,,,
,Christopher,Joe,ChristopherJoe,*ChristopherJoe*321!,christopher_Joe@huawei.com,S8938503O,88275212,11,Professional Certification,,,,
,Douglas,Jerry,DouglasJerry,*DouglasJerry*321!,douglas_Jerry@yahoo.com,S7023983B,85073475,19,Professional Certification,,,,
,Connor,Ted,ConnorTed,*ConnorTed*321!,connor_Ted@yahoo.com,S7608163D,93630225,11,Bachelor,,,,
,Sandy,Christopher,SandyChristopher,*SandyChristopher*321!,sandy_Christopher@huawei.com,S8426027E,91845816,20,PhD,,,,
,Alberto,Claude,AlbertoClaude,*AlbertoClaude*321!,alberto_Claude@gmail.com,S7720245R,97061128,29,Diploma,,,,
,Peter,Victor,PeterVictor,*PeterVictor*321!,peter_Victor@alibaba.com,S9829941P,99371275,16,Bachelor,,,,
,Dave,Jimmy,DaveJimmy,*DaveJimmy*321!,dave_Jimmy@hotmail.com,T0002804M,80666263,25,Diploma,,,,
,Claude,Hector,ClaudeHector,*ClaudeHector*321!,claude_Hector@huawei.com,S9401923A,85884483,3,Professional Certification,,,,
,Jorge,Paul,JorgePaul,*JorgePaul*321!,jorge_Paul@huawei.com,S9709034L,99598559,6,Diploma,,,,
,Stuart,Bruce,StuartBruce,*StuartBruce*321!,stuart_Bruce@hotmail.com,S8337105H,95511326,14,Master,,,,
,Albert,Wade,AlbertWade,*AlbertWade*321!,albert_Wade@alibaba.com,S8310865T,98954352,4,Bachelor,,,,
,Carlos,Terry,CarlosTerry,*CarlosTerry*321!,carlos_Terry@alibaba.com,S6931762S,92709767,3,Diploma,,,,
,Clark,Arthur,ClarkArthur,*ClarkArthur*321!,clark_Arthur@gmail.com,S9117262A,91536602,14,Professional Certification,,,,
,George,Sebastian,GeorgeSebastian,*GeorgeSebastian*321!,george_Sebastian@hotmail.com,S7114492K,81677790,21,Diploma,,,,
,Albert,Harold,AlbertHarold,*AlbertHarold*321!,albert_Harold@hotmail.com,S9105005T,98545962,24,Master,,,,
,Aidan,Paul,AidanPaul,*AidanPaul*321!,aidan_Paul@gmail.com,S8916913H,99065405,15,Master,,,,
,Benjamin,Brian,BenjaminBrian,*BenjaminBrian*321!,benjamin_Brian@huawei.com,S8518421P,81095452,2,Bachelor,,,,
,Lewis,Harvey,LewisHarvey,*LewisHarvey*321!,lewis_Harvey@yahoo.com,S9118825X,80074475,3,Bachelor,,,,
,Romeo,Dave,RomeoDave,*RomeoDave*321!,romeo_Dave@msn.com,S9710061F,84076242,27,Master,,,,
,Kingston,Marion,KingstonMarion,*KingstonMarion*321!,kingston_Marion@huawei.com,S9509153B,87585014,4,Master,,,,
,Alexis,Craig,AlexisCraig,*AlexisCraig*321!,alexis_Craig@hotmail.com,S9507945O,88361336,19,PhD,,,,
,Jorge,Marlin,JorgeMarlin,*JorgeMarlin*321!,jorge_Marlin@yahoo.com,S8205731I,95646987,6,PhD,,,,
,Ivan,Gerald,IvanGerald,*IvanGerald*321!,ivan_Gerald@msn.com,S8231359N,80884560,18,Master,,,,
,Noel,Charlie,NoelCharlie,*NoelCharlie*321!,noel_Charlie@gmail.com,S8633307Q,86641820,5,PhD,,,,
,Roberto,Antonio,RobertoAntonio,*RobertoAntonio*321!,roberto_Antonio@alibaba.com,S8039467Q,96124357,19,Bachelor,,,,
,Harold,Milton,HaroldMilton,*HaroldMilton*321!,harold_Milton@hotmail.com,S8905534S,82338152,6,PhD,,,,
,Samuel,Noel,SamuelNoel,*SamuelNoel*321!,samuel_Noel@gmail.com,S9805494X,86030450,12,PhD,,,,
,Charlie,Nathaniel,CharlieNathaniel,*CharlieNathaniel*321!,charlie_Nathaniel@yahoo.com,T0002324S,99264582,17,Professional Certification,,,,
,Jaime,Jorge,JaimeJorge,*JaimeJorge*321!,jaime_Jorge@gmail.com,S7432244B,98453970,19,Master,,,,
,Bruce,Joey,BruceJoey,*BruceJoey*321!,bruce_Joey@gmail.com,S7438733J,92568749,12,PhD,,,,
,Gilbert,Stefan,GilbertStefan,*GilbertStefan*321!,gilbert_Stefan@hotmail.com,S9915596V,87410160,27,Professional Certification,,,,
,Harold,Clarence,HaroldClarence,*HaroldClarence*321!,harold_Clarence@yahoo.com,S9510499I,81346605,6,Professional Certification,,,,
,Hector,Milton,HectorMilton,*HectorMilton*321!,hector_Milton@msn.com,S7624906L,90969989,30,Bachelor,,,,
,Wade,Joey,WadeJoey,*WadeJoey*321!,wade_Joey@huawei.com,S9228520E,88677233,7,Professional Certification,,,,
,Sebastian,Sandy,SebastianSandy,*SebastianSandy*321!,sebastian_Sandy@huawei.com,S9034778M,91953469,2,Diploma,,,,
,Rick,Morris,RickMorris,*RickMorris*321!,rick_Morris@alibaba.com,S9110365L,93885224,3,Diploma,,,,
,Arthur,Conner,ArthurConner,*ArthurConner*321!,arthur_Conner@huawei.com,S8916258D,88292539,20,PhD,,,,
,Dan,Ivan,DanIvan,*DanIvan*321!,dan_Ivan@gmail.com,S8223088H,93183256,8,Bachelor,,,,
,Hunter,Arthur,HunterArthur,*HunterArthur*321!,hunter_Arthur@alibaba.com,S8703077C,82436399,4,Master,,,,
,Ted,Luka,TedLuka,*TedLuka*321!,ted_Luka@hotmail.com,S8107507U,83584162,26,Master,,,,
,Keith,Clark,KeithClark,*KeithClark*321!,keith_Clark@yahoo.com,S8902412C,99764806,18,PhD,,,,
,Benjamin,Greyson,BenjaminGreyson,*BenjaminGreyson*321!,benjamin_Greyson@msn.com,S9326557U,86520153,27,Professional Certification,,,,
,Cedric,Miles,CedricMiles,*CedricMiles*321!,cedric_Miles@alibaba.com,S7003798F,98713297,15,Diploma,,,,
,Miles,Nathaniel,MilesNathaniel,*MilesNathaniel*321!,miles_Nathaniel@alibaba.com,S8316446G,94304518,10,Master,,,,
,Harold,Wade,HaroldWade,*HaroldWade*321!,harold_Wade@msn.com,S7437855D,89607451,23,Master,,,,
,Jaime,Charlie,JaimeCharlie,*JaimeCharlie*321!,jaime_Charlie@huawei.com,S7538003K,88382122,27,Professional Certification,,,,
,Alberto,Dave,AlbertoDave,*AlbertoDave*321!,alberto_Dave@yahoo.com,S8825234U,94183569,13,Diploma,,,,
,Wiley,Lewis,WileyLewis,*WileyLewis*321!,wiley_Lewis@huawei.com,S8532516I,80381499,24,PhD,,,,
,Troy,Ethan,TroyEthan,*TroyEthan*321!,troy_Ethan@hotmail.com,S8915264U,94089042,23,Master,,,,
,Miles,Jessie,MilesJessie,*MilesJessie*321!,miles_Jessie@hotmail.com,S7039386D,86746857,13,Diploma,,,,
,Joe,Johnny,JoeJohnny,*JoeJohnny*321!,joe_Johnny@gmail.com,S8918063F,95476841,28,Bachelor,,,,
,Ricardo,Joe,RicardoJoe,*RicardoJoe*321!,ricardo_Joe@hotmail.com,S7521781U,86913038,24,Bachelor,,,,
,Shawn,Douglas,ShawnDouglas,*ShawnDouglas*321!,shawn_Douglas@alibaba.com,S7325271G,87731079,2,Master,,,,
,Harvey,Shane,HarveyShane,*HarveyShane*321!,harvey_Shane@huawei.com,S7016679M,82283679,20,PhD,,,,
,Arthur,Adrian,ArthurAdrian,*ArthurAdrian*321!,arthur_Adrian@huawei.com,S9707846Y,90241122,9,Diploma,,,,
,Stuart,Clark,StuartClark,*StuartClark*321!,stuart_Clark@huawei.com,S9838716N,93586727,17,Master,,,,
,Marion,Ricardo,MarionRicardo,*MarionRicardo*321!,marion_Ricardo@huawei.com,S9538647I,85117257,27,Professional Certification,,,,
,Antonio,Douglas,AntonioDouglas,*AntonioDouglas*321!,antonio_Douglas@alibaba.com,S8406289C,85936539,13,PhD,,,,
,Carlos,Arthur,CarlosArthur,*CarlosArthur*321!,carlos_Arthur@gmail.com,S7208545R,84904089,7,PhD,,,,
,Craig,Antonio,CraigAntonio,*CraigAntonio*321!,craig_Antonio@alibaba.com,S9738440P,89228784,27,Diploma,,,,
,Romeo,Nick,RomeoNick,*RomeoNick*321!,romeo_Nick@gmail.com,T0032928B,97555628,8,Bachelor,,,,
,Tristin,Claude,TristinClaude,*TristinClaude*321!,tristin_Claude@gmail.com,S7226179F,82288235,1,PhD,,,,
,Alexis,Connor,AlexisConnor,*AlexisConnor*321!,alexis_Connor@yahoo.com,S8707560G,87085796,18,Diploma,,,,
,Hector,Scott,HectorScott,*HectorScott*321!,hector_Scott@yahoo.com,S9227518W,99384829,25,Professional Certification,,,,
,Sandy,Dan,SandyDan,*SandyDan*321!,sandy_Dan@msn.com,S7329229K,92263909,7,Professional Certification,,,,
,Marshall,Nathaniel,MarshallNathaniel,*MarshallNathaniel*321!,marshall_Nathaniel@yahoo.com,S7638051H,83455064,25,Diploma,,,,
,Brian,Orlando,BrianOrlando,*BrianOrlando*321!,brian_Orlando@huawei.com,S9736911U,82174869,3,Bachelor,,,,
,Claude,Stuart,ClaudeStuart,*ClaudeStuart*321!,claude_Stuart@gmail.com,S9007368I,93193186,24,Professional Certification,,,,
,Carlos,Douglas,CarlosDouglas,*CarlosDouglas*321!,carlos_Douglas@msn.com,S7214697M,94968529,12,Professional Certification,,,,
,Clark,Romeo,ClarkRomeo,*ClarkRomeo*321!,clark_Romeo@msn.com,S8431404X,99500649,5,Master,,,,
,Robin,Conner,RobinConner,*RobinConner*321!,robin_Conner@hotmail.com,S8608240D,89176338,5,PhD,,,,
,Harold,Shawn,HaroldShawn,*HaroldShawn*321!,harold_Shawn@hotmail.com,S7736386S,86921003,21,Professional Certification,,,,
,Peter,Fred,PeterFred,*PeterFred*321!,peter_Fred@gmail.com,S8026285V,98374869,7,PhD,,,,
,Christopher,Alberto,ChristopherAlberto,*ChristopherAlberto*321!,christopher_Alberto@hotmail.com,S8926757G,93616506,23,PhD,,,,
,Scott,Joe,ScottJoe,*ScottJoe*321!,scott_Joe@yahoo.com,S7012268Q,86641543,15,Bachelor,,,,
,Harold,Conner,HaroldConner,*HaroldConner*321!,harold_Conner@gmail.com,T0010490Q,83892015,2,Diploma,,,,
,Eli,Riley,EliRiley,*EliRiley*321!,eli_Riley@gmail.com,S9921352X,84313432,25,Bachelor,,,,
,Rick,Paul,RickPaul,*RickPaul*321!,rick_Paul@hotmail.com,S8814638O,89888269,4,Diploma,,,,
,Carlos,Mark,CarlosMark,*CarlosMark*321!,carlos_Mark@gmail.com,S8534284M,98795528,6,Diploma,,,,
,Aidan,Stefan,AidanStefan,*AidanStefan*321!,aidan_Stefan@alibaba.com,S8628378J,80876445,2,Professional Certification,,,,
,Miles,Milton,MilesMilton,*MilesMilton*321!,miles_Milton@hotmail.com,S7408293X,83340365,3,PhD,,,,
,Cedric,Craig,CedricCraig,*CedricCraig*321!,cedric_Craig@yahoo.com,S7334669V,98447453,5,PhD,,,,
,Joshua,Carlos,JoshuaCarlos,*JoshuaCarlos*321!,joshua_Carlos@msn.com,S8530811B,83831785,18,Bachelor,,,,
,Arthur,Wade,ArthurWade,*ArthurWade*321!,arthur_Wade@alibaba.com,S8713966N,97189115,8,Professional Certification,,,,
,Jerry,Ivan,JerryIvan,*JerryIvan*321!,jerry_Ivan@hotmail.com,S9014315F,87086879,19,Professional Certification,,,,
,Ron,Adrian,RonAdrian,*RonAdrian*321!,ron_Adrian@msn.com,T0031745E,89747304,22,Master,,,,
,Miles,Harvey,MilesHarvey,*MilesHarvey*321!,miles_Harvey@msn.com,S7224421V,91379623,9,Master,,,,
,Liam,Harold,LiamHarold,*LiamHarold*321!,liam_Harold@hotmail.com,S9032558H,83665064,11,Professional Certification,,,,
,Victor,Kingston,VictorKingston,*VictorKingston*321!,victor_Kingston@alibaba.com,S9829716P,99702852,19,Master,,,,
,Carlos,Christopher,CarlosChristopher,*CarlosChristopher*321!,carlos_Christopher@yahoo.com,S8331600E,92121240,24,Master,,,,
,Ernest,Marshall,ErnestMarshall,*ErnestMarshall*321!,ernest_Marshall@yahoo.com,S7105595U,96055956,15,PhD,,,,
,Ivan,Kingston,IvanKingston,*IvanKingston*321!,ivan_Kingston@msn.com,S9639597D,80170147,4,Professional Certification,,,,
,Ricardo,Paul,RicardoPaul,*RicardoPaul*321!,ricardo_Paul@huawei.com,S9920770G,93578463,10,Professional Certification,,,,
,Albert,Fred,AlbertFred,*AlbertFred*321!,albert_Fred@hotmail.com,S7000482Q,90950414,11,Professional Certification,,,,
,Ron,Ivan,RonIvan,*RonIvan*321!,ron_Ivan@msn.com,S7313758V,82533639,13,Professional Certification,,,,
,Aaron,Craig,AaronCraig,*AaronCraig*321!,aaron_Craig@huawei.com,S8405152A,97295613,6,Bachelor,,,,
,Gerald,Ethan,GeraldEthan,*GeraldEthan*321!,gerald_Ethan@alibaba.com,S9433946U,95294286,19,Master,,,,
,Alberto,Miles,AlbertoMiles,*AlbertoMiles*321!,alberto_Miles@yahoo.com,S9627132G,99495416,2,Bachelor,,,,
,Ivan,Milton,IvanMilton,*IvanMilton*321!,ivan_Milton@msn.com,S7226885H,87318895,17,PhD,,,,
,Fred,Alberto,FredAlberto,*FredAlberto*321!,fred_Alberto@yahoo.com,S7016885C,98330221,2,Professional Certification,,,,
,Johnny,Jaime,JohnnyJaime,*JohnnyJaime*321!,johnny_Jaime@yahoo.com,S8622808J,98043357,27,Professional Certification,,,,
,Joey,Romeo,JoeyRomeo,*JoeyRomeo*321!,joey_Romeo@msn.com,S7519536V,90394575,19,Diploma,,,,
,Christopher,Martin,ChristopherMartin,*ChristopherMartin*321!,christopher_Martin@yahoo.com,S7604867W,97801132,22,Professional Certification,,,,
,Stefan,Aaron,StefanAaron,*StefanAaron*321!,stefan_Aaron@alibaba.com,S9121899O,98823443,11,Master,,,,
,Sandy,Marlin,SandyMarlin,*SandyMarlin*321!,sandy_Marlin@huawei.com,S9837518I,98017581,12,Bachelor,,,,
,Gerald,Sandy,GeraldSandy,*GeraldSandy*321!,gerald_Sandy@alibaba.com,S7525845A,89456808,17,Bachelor,,,,
,Marion,Liam,MarionLiam,*MarionLiam*321!,marion_Liam@gmail.com,S9529867U,93834997,19,Bachelor,,,,
,Robin,Eli,RobinEli,*RobinEli*321!,robin_Eli@alibaba.com,S9405893T,81876054,29,PhD,,,,
,Alberto,Johnny,AlbertoJohnny,*AlbertoJohnny*321!,alberto_Johnny@gmail.com,S7402218T,92676329,28,Master,,,,
,Roberto,Carlos,RobertoCarlos,*RobertoCarlos*321!,roberto_Carlos@huawei.com,S9524500T,81886819,20,Diploma,,,,
,Craig,Philip,CraigPhilip,*CraigPhilip*321!,craig_Philip@alibaba.com,S7639998M,96526380,1,Bachelor,,,,
,Alexis,George,AlexisGeorge,*AlexisGeorge*321!,alexis_George@yahoo.com,T0031546O,91155954,2,PhD,,,,
,Cedric,Noel,CedricNoel,*CedricNoel*321!,cedric_Noel@gmail.com,S8223169B,89780792,4,PhD,,,,
,Victor,Peter,VictorPeter,*VictorPeter*321!,victor_Peter@msn.com,S7424081S,95567577,26,Master,,,,
,Connor,Peter,ConnorPeter,*ConnorPeter*321!,connor_Peter@hotmail.com,S7533934B,87899145,21,Master,,,,
,Martin,Ethan,MartinEthan,*MartinEthan*321!,martin_Ethan@alibaba.com,S8917334Y,82153614,15,PhD,,,,
,Terry,Shane,TerryShane,*TerryShane*321!,terry_Shane@yahoo.com,S9238284V,81913410,12,Diploma,,,,
,Rick,Blake,RickBlake,*RickBlake*321!,rick_Blake@gmail.com,S9522562S,97338653,21,Master,,,,
,George,Tommy,GeorgeTommy,*GeorgeTommy*321!,george_Tommy@alibaba.com,S9116733O,96185383,4,Professional Certification,,,,
,Nick,Tristin,NickTristin,*NickTristin*321!,nick_Tristin@alibaba.com,S9802016V,98342187,22,Diploma,,,,
,Ramon,Sandy,RamonSandy,*RamonSandy*321!,ramon_Sandy@hotmail.com,S8036097I,89635267,2,Professional Certification,,,,
,Ron,Joey,RonJoey,*RonJoey*321!,ron_Joey@yahoo.com,S8415077F,93092316,20,Bachelor,,,,
,Claude,Ron,ClaudeRon,*ClaudeRon*321!,claude_Ron@huawei.com,S7135237A,93443674,21,PhD,,,,
,Brian,Troy,BrianTroy,*BrianTroy*321!,brian_Troy@gmail.com,S7316805W,93579434,10,Bachelor,,,,
,Samuel,Jaime,SamuelJaime,*SamuelJaime*321!,samuel_Jaime@alibaba.com,S7606635O,96493081,4,PhD,,,,
,Christopher,Jessie,ChristopherJessie,*ChristopherJessie*321!,christopher_Jessie@msn.com,S9107089U,97049130,10,Master,,,,
,Troy,Eli,TroyEli,*TroyEli*321!,troy_Eli@hotmail.com,S8037097A,85180692,22,Bachelor,,,,
,Clarence,Jorge,ClarenceJorge,*ClarenceJorge*321!,clarence_Jorge@gmail.com,S7332458S,80359401,30,PhD,,,,
,Adrian,Christopher,AdrianChristopher,*AdrianChristopher*321!,adrian_Christopher@yahoo.com,S9931562L,93055408,24,Bachelor,,,,
,Jerry,Wade,JerryWade,*JerryWade*321!,jerry_Wade@hotmail.com,S7914476X,80395705,24,Bachelor,,,,
,Shawn,Ricardo,ShawnRicardo,*ShawnRicardo*321!,shawn_Ricardo@hotmail.com,S9429814L,89948237,16,Professional Certification,,,,
,Dan,Paul,DanPaul,*DanPaul*321!,dan_Paul@hotmail.com,S7918585V,85762728,26,Master,,,,
,Aidan,Bruce,AidanBruce,*AidanBruce*321!,aidan_Bruce@gmail.com,S8932843X,96934383,16,Bachelor,,,,
,Scott,Adrian,ScottAdrian,*ScottAdrian*321!,scott_Adrian@huawei.com,S8200490G,86613727,25,Bachelor,,,,
,Fred,Connor,FredConnor,*FredConnor*321!,fred_Connor@hotmail.com,S7234085G,81364719,17,Master,,,,
,Morris,Clarence,MorrisClarence,*MorrisClarence*321!,morris_Clarence@hotmail.com,S8005483V,81515459,12,Diploma,,,,
,Ted,Bruce,TedBruce,*TedBruce*321!,ted_Bruce@gmail.com,S9632358F,81703997,13,Professional Certification,,,,
,Clarence,Clarence,ClarenceClarence,*ClarenceClarence*321!,clarence_Clarence@huawei.com,S8313451E,96095239,7,Bachelor,,,,
,Clarence,Kingston,ClarenceKingston,*ClarenceKingston*321!,clarence_Kingston@msn.com,S9626449L,97314932,28,Professional Certification,,,,
,Stuart,Craig,StuartCraig,*StuartCraig*321!,stuart_Craig@gmail.com,S9639736J,83133131,18,Professional Certification,,,,
,Charlie,Ethan,CharlieEthan,*CharlieEthan*321!,charlie_Ethan@yahoo.com,S8235475W,97693455,1,Professional Certification,,,,
,Noel,George,NoelGeorge,*NoelGeorge*321!,noel_George@hotmail.com,S9115945I,89407718,18,Diploma,,,,
,Connor,Shawn,ConnorShawn,*ConnorShawn*321!,connor_Shawn@msn.com,S9837818M,93491183,10,Professional Certification,,,,
,Morris,Wade,MorrisWade,*MorrisWade*321!,morris_Wade@huawei.com,S7035318Q,80322728,23,Diploma,,,,
,Ted,Albert,TedAlbert,*TedAlbert*321!,ted_Albert@huawei.com,S9515493C,95218122,17,PhD,,,,
,Paul,Aaron,PaulAaron,*PaulAaron*321!,paul_Aaron@alibaba.com,S9503850F,94278015,25,Master,,,,
,Brian,Sebastian,BrianSebastian,*BrianSebastian*321!,brian_Sebastian@huawei.com,S8821023K,92695039,13,PhD,,,,
,Benjamin,Orlando,BenjaminOrlando,*BenjaminOrlando*321!,benjamin_Orlando@huawei.com,S8339574Y,85803785,13,Master,,,,
,Douglas,Douglas,DouglasDouglas,*DouglasDouglas*321!,douglas_Douglas@yahoo.com,S9006037T,84310137,7,Professional Certification,,,,
,Martin,Sebastian,MartinSebastian,*MartinSebastian*321!,martin_Sebastian@msn.com,S9136525Y,99054228,1,Diploma,,,,
,Clark,Blake,ClarkBlake,*ClarkBlake*321!,clark_Blake@huawei.com,S8507373E,80465554,21,Master,,,,
,Claude,Ethan,ClaudeEthan,*ClaudeEthan*321!,claude_Ethan@hotmail.com,S7528189K,95587302,7,Diploma,,,,
,Adrian,Miles,AdrianMiles,*AdrianMiles*321!,adrian_Miles@gmail.com,S7925109F,92667366,17,Professional Certification,,,,
,Arthur,Shawn,ArthurShawn,*ArthurShawn*321!,arthur_Shawn@hotmail.com,S8435213B,84249741,4,Diploma,,,,
,Everett,Shane,EverettShane,*EverettShane*321!,everett_Shane@gmail.com,S7435847T,86234268,22,PhD,,,,
,Benjamin,Paul,BenjaminPaul,*BenjaminPaul*321!,benjamin_Paul@yahoo.com,S7902757F,97716127,19,Diploma,,,,
,Sandy,Noel,SandyNoel,*SandyNoel*321!,sandy_Noel@hotmail.com,S9700556R,93908165,28,Diploma,,,,
,Joe,Alberto,JoeAlberto,*JoeAlberto*321!,joe_Alberto@gmail.com,S8602792D,90592730,23,Bachelor,,,,
,Victor,Seth,VictorSeth,*VictorSeth*321!,victor_Seth@hotmail.com,S9615964C,91141824,14,Diploma,,,,
,Keith,Tristin,KeithTristin,*KeithTristin*321!,keith_Tristin@hotmail.com,S9324528V,83824935,6,Bachelor,,,,
,Milton,Conner,MiltonConner,*MiltonConner*321!,milton_Conner@yahoo.com,S8123468V,95646478,20,Diploma,,,,
,Jorge,Alexis,JorgeAlexis,*JorgeAlexis*321!,jorge_Alexis@alibaba.com,S7437111S,92201797,2,Bachelor,,,,
,Philip,Dan,PhilipDan,*PhilipDan*321!,philip_Dan@alibaba.com,S8605951Y,99700175,23,PhD,,,,
,Nathaniel,Terry,NathanielTerry,*NathanielTerry*321!,nathaniel_Terry@msn.com,S9229692K,81048615,11,Master,,,,
,Sebastian,Dave,SebastianDave,*SebastianDave*321!,sebastian_Dave@hotmail.com,S8909476L,86533437,9,Professional Certification,,,,
,Ricardo,Jessie,RicardoJessie,*RicardoJessie*321!,ricardo_Jessie@huawei.com,S8322548W,89200592,29,Master,,,,
,Harold,Hunter,HaroldHunter,*HaroldHunter*321!,harold_Hunter@gmail.com,S7021543R,80165958,25,PhD,,,,
,Jessie,Jimmy,JessieJimmy,*JessieJimmy*321!,jessie_Jimmy@msn.com,S8329331H,85557632,29,PhD,,,,
